Date "Cumulative Returns"
2015-06-10 0.0
2015-06-11 0.0
2015-06-12 0.0
2015-06-15 0.0
2015-06-16 0.0
2015-06-17 0.0
2015-06-18 0.0035364704371101396
2015-06-19 0.0035364704371101396
2015-06-22 0.0035364704371101396
2015-06-23 0.0035364704371101396
2015-06-24 0.0035364704371101396
2015-06-25 0.0035364704371101396
2015-06-26 0.0035364704371101396
2015-06-29 0.0035364704371101396
2015-06-30 -0.0013565867282334665
2015-07-01 0.005173202459227255
2015-07-02 0.005173202459227255
2015-07-03 0.005173202459227255
2015-07-06 0.005173202459227255
2015-07-07 -0.0010484626593569857
2015-07-08 -0.013658220856445524
2015-07-09 -0.006147542819818774
2015-07-10 0.004772752999404162
2015-07-13 0.004772752999404162
2015-07-14 0.004772752999404162
2015-07-15 0.004772752999404162
2015-07-16 0.004772752999404162
2015-07-17 0.004772752999404162
2015-07-20 0.004772752999404162
2015-07-21 0.004772752999404162
2015-07-22 0.004772752999404162
2015-07-23 0.004772752999404162
2015-07-24 0.004772752999404162
2015-07-27 0.00742884305385072
2015-07-28 0.008380561112358187
2015-07-29 0.008380561112358187
2015-07-30 0.008380561112358187
2015-07-31 0.008380561112358187
2015-08-03 0.008380561112358187
2015-08-04 0.008380561112358187
2015-08-05 0.008380561112358187
2015-08-06 0.008380561112358187
2015-08-07 0.008380561112358187
2015-08-10 0.008380561112358187
2015-08-11 0.008380561112358187
2015-08-12 0.008380561112358187
2015-08-13 0.008380561112358187
2015-08-14 0.008380561112358187
2015-08-17 0.008380561112358187
2015-08-18 0.008380561112358187
2015-08-19 0.008380561112358187
2015-08-20 0.008380561112358187
2015-08-21 0.008380561112358187
2015-08-24 0.008380561112358187
2015-08-25 0.010116781013861598
2015-08-26 -0.0025618877856441458
2015-08-27 0.012012564791492153
2015-08-28 0.020969205292381332
2015-08-31 0.020969205292381332
2015-09-01 0.020969205292381332
2015-09-02 0.020969205292381332
2015-09-03 0.020969205292381332
2015-09-04 0.020969205292381332
2015-09-07 0.021394608812551397
2015-09-08 0.027567524780506503
2015-09-09 0.027567524780506503
2015-09-10 0.027567524780506503
2015-09-11 0.027567524780506503
2015-09-14 0.027567524780506503
2015-09-15 0.027567524780506503
2015-09-16 0.027567524780506503
2015-09-17 0.027567524780506503
2015-09-18 0.027567524780506503
2015-09-21 0.027567524780506503
2015-09-22 0.027567524780506503
2015-09-23 0.027567524780506503
2015-09-24 0.027567524780506503
2015-09-25 0.027567524780506503
2015-09-28 0.027567524780506503
2015-09-29 0.027567524780506503
2015-09-30 0.027567524780506503
2015-10-01 0.027567524780506503
2015-10-02 0.027567524780506503
2015-10-05 0.027567524780506503
2015-10-06 0.027567524780506503
2015-10-07 0.027567524780506503
2015-10-08 0.027567524780506503
2015-10-09 0.027567524780506503
2015-10-12 0.027567524780506503
2015-10-13 0.03163441169910364
2015-10-14 0.033738920161168195
2015-10-15 0.033738920161168195
2015-10-16 0.033738920161168195
2015-10-19 0.033738920161168195
2015-10-20 0.033738920161168195
2015-10-21 0.033738920161168195
2015-10-22 0.033738920161168195
2015-10-23 0.033738920161168195
2015-10-26 0.034780433309623326
2015-10-27 0.039819115197746946
2015-10-28 0.039819115197746946
2015-10-29 0.039819115197746946
2015-10-30 0.039819115197746946
2015-11-02 0.039819115197746946
2015-11-03 0.039819115197746946
2015-11-04 0.039819115197746946
2015-11-05 0.039819115197746946
2015-11-06 0.039819115197746946
2015-11-09 0.039819115197746946
2015-11-10 0.039819115197746946
2015-11-11 0.039819115197746946
2015-11-12 0.039819115197746946
2015-11-13 0.039819115197746946
2015-11-16 0.039819115197746946
2015-11-17 0.039819115197746946
2015-11-18 0.039819115197746946
2015-11-19 0.039819115197746946
2015-11-20 0.039819115197746946
2015-11-23 0.039819115197746946
2015-11-24 0.039819115197746946
2015-11-25 0.03871219286980487
2015-11-26 0.03978029637884539
2015-11-27 0.03605439315821091
2015-11-30 0.040760122675163935
2015-12-01 0.040760122675163935
2015-12-02 0.040760122675163935
2015-12-03 0.040760122675163935
2015-12-04 0.040760122675163935
2015-12-07 0.040760122675163935
2015-12-08 0.040760122675163935
2015-12-09 0.040760122675163935
2015-12-10 0.040760122675163935
2015-12-11 0.03716729419265352
2015-12-14 0.032591325796773596
2015-12-15 0.03917742036569827
2015-12-16 0.04588479937902257
2015-12-17 0.04588479937902257
2015-12-18 0.04588479937902257
2015-12-21 0.049930211740247366
2015-12-22 0.049930211740247366
2015-12-23 0.049930211740247366
2015-12-24 0.049930211740247366
2015-12-28 0.049763974519350995
2015-12-29 0.05158591893101416
2015-12-30 0.049302501817092725
2015-12-31 0.04656243284653261
2016-01-04 0.04637457548637691
2016-01-05 0.04158482921582962
2016-01-06 0.043189504264185885
2016-01-07 0.04380417847338247
2016-01-08 0.04380417847338247
2016-01-11 0.04380417847338247
2016-01-12 0.04380417847338247
2016-01-13 0.04380417847338247
2016-01-14 0.04380417847338247
2016-01-15 0.04380417847338247
2016-01-18 0.042216835316275514
2016-01-19 0.04869141812569122
2016-01-20 0.04869141812569122
2016-01-21 0.04869141812569122
2016-01-22 0.04869141812569122
2016-01-25 0.04869141812569122
2016-01-26 0.04869141812569122
2016-01-27 0.04869141812569122
2016-01-28 0.04869141812569122
2016-01-29 0.04869141812569122
2016-02-01 0.04360722354476376
2016-02-02 0.04947885965936294
2016-02-03 0.06803250356847368
2016-02-04 0.06803250356847368
2016-02-05 0.06803250356847368
2016-02-08 0.06803250356847368
2016-02-09 0.06803250356847368
2016-02-10 0.06803250356847368
2016-02-11 0.06803250356847368
