Date "Forecast CPI" "Actual CPI"
2014-03-31 235.2554735695041 236.293
2014-04-30 237.2482582664689 237.072
2014-05-31 237.37250990334377 237.89999999999998
2014-06-30 238.48622332192377 238.34300000000002
2014-07-31 238.6029496769109 238.25
2014-08-31 238.3597531397892 237.852
2014-09-30 238.048512641745 238.03099999999998
2014-10-31 238.6255609060869 237.433
2014-11-30 237.38676101142576 236.151
2014-12-31 235.77988486272298 234.812
2015-01-31 234.48877228432005 233.707
2015-02-28 233.3470559660833 234.72200000000004
2015-03-31 235.39410725431839 236.119
2015-04-30 236.73912277973457 236.59900000000002
2015-05-31 236.99174107036347 237.805
2015-06-30 239.16157368073655 238.638
2015-07-31 239.62298408361363 238.654
2015-08-31 239.0703763740072 238.316
2015-09-30 238.5324786676378 237.945
2015-10-31 238.10012061963465 237.838
2015-11-30 238.0066558524942 237.336
2015-12-31 237.30139702615378 236.525
2016-01-31 236.46181192954157 236.91599999999997
2016-02-29 237.57350760986097 237.111
2016-03-31 237.2085662340919 238.132
2016-04-30 239.36091667287394 239.261
2016-05-31 240.02124100437382 240.229
2016-06-30 241.42865406438938 241.01799999999997
2016-07-31 241.80362489258 240.628
2016-08-31 241.118276006952 240.849
2016-09-30 241.61022352185086 241.428
2016-10-31 242.22161127730953 241.729
2016-11-30 242.01212576112664 241.353
2016-12-31 241.48484137195175 241.432
2017-01-31 242.32263799341078 242.83899999999997
2017-02-28 243.9778672782323 243.60299999999998
2017-03-31 244.03247454451838 243.80099999999996
2017-04-30 244.02375939357967 244.524
2017-05-31 244.97423543966357 244.733
2017-06-30 244.8936173007412 244.955
2017-07-31 245.03831170252965 244.786
2017-08-31 245.04307137899158 245.51900000000003
2017-09-30 246.05594810400595 246.81899999999996
2017-10-31 247.77335152471224 246.663
2017-11-30 246.3408484739345 246.669
2017-12-31 247.13009554246412 246.524
2018-01-31 246.87391667585842 247.86699999999996
2018-02-28 249.2425104493561 248.99100000000004
2018-03-31 249.70707727466691 249.55400000000003
2018-04-30 249.9474817634497 250.546
